version,1.8.0
info,balls_per_over,6
info,team,Rajasthan Royals
info,team,Royal Challengers Bangalore
info,team_type,club
info,gender,male
ball,1,15.4,Rajasthan Royals,JC Buttler,SPD Smith,CH Morris,0,0,,,,,,caught,JC Buttler,15.3,,Navdeep Saini,,
ball,1,15.5,Rajasthan Royals,SPD Smith,R Tewatia,CH Morris,4,0,,,,,,"","",15.4,,,,
ball,1,15.6,Rajasthan Royals,SPD Smith,R Tewatia,CH Morris,1,0,,,,,,"","",15.5,,,,
ball,1,15.7,Rajasthan Royals,R Tewatia,SPD Smith,CH Morris,1,0,,,,,,"","",15.6,,,,
ball,1,16.1,Rajasthan Royals,R Tewatia,SPD Smith,NA Saini,1,0,,,,,,"","",16.1,,,,
ball,1,16.2,Rajasthan Royals,SPD Smith,R Tewatia,NA Saini,2,0,,,,,,"","",16.2,,,,
ball,1,16.3,Rajasthan Royals,SPD Smith,R Tewatia,NA Saini,1,0,,,,,,"","",16.3,,,,
ball,1,16.4,Rajasthan Royals,R Tewatia,SPD Smith,NA Saini,1,0,,,,,,"","",16.4,,,,
ball,1,16.5,Rajasthan Royals,SPD Smith,R Tewatia,NA Saini,0,0,,,,,,"","",16.5,,,,
ball,1,16.6,Rajasthan Royals,SPD Smith,R Tewatia,NA Saini,1,0,,,,,,"","",16.6,,,,
ball,1,17.1,Rajasthan Royals,SPD Smith,R Tewatia,YS Chahal,4,0,,,,,,"","",17.1,,,,
ball,1,17.2,Rajasthan Royals,SPD Smith,R Tewatia,YS Chahal,1,0,,,,,,"","",17.2,,,,
ball,1,17.3,Rajasthan Royals,R Tewatia,SPD Smith,YS Chahal,1,0,,,,,,"","",17.3,,,,
ball,1,17.4,Rajasthan Royals,SPD Smith,R Tewatia,YS Chahal,4,1,,1,,,,"","",17.4,,,,
ball,1,17.5,Rajasthan Royals,SPD Smith,R Tewatia,YS Chahal,1,0,,,,,,"","",17.4,,,,
ball,1,17.6,Rajasthan Royals,R Tewatia,SPD Smith,YS Chahal,0,1,,,1,,,"","",17.5,,,,
ball,1,17.7,Rajasthan Royals,SPD Smith,R Tewatia,YS Chahal,4,1,,1,,,,"","",17.6,,,,
ball,1,17.8,Rajasthan Royals,SPD Smith,R Tewatia,YS Chahal,1,0,,,,,,"","",17.6,,,,
ball,1,18.1,Rajasthan Royals,SPD Smith,R Tewatia,I Udana,1,0,,,,,,"","",18.1,,,,
ball,1,18.2,Rajasthan Royals,R Tewatia,SPD Smith,I Udana,6,0,,,,,,"","",18.2,,,,
ball,1,18.3,Rajasthan Royals,R Tewatia,SPD Smith,I Udana,2,0,,,,,,"","",18.3,,,,
ball,1,18.4,Rajasthan Royals,R Tewatia,SPD Smith,I Udana,0,0,,,,,,"","",18.4,,,,
ball,1,18.5,Rajasthan Royals,R Tewatia,SPD Smith,I Udana,2,0,,,,,,"","",18.5,,,,
ball,1,18.6,Rajasthan Royals,R Tewatia,SPD Smith,I Udana,4,0,,,,,,"","",18.6,,,,
ball,1,19.1,Rajasthan Royals,SPD Smith,R Tewatia,CH Morris,0,0,,,,,,"","",19.1,,,,
ball,1,19.2,Rajasthan Royals,SPD Smith,R Tewatia,CH Morris,0,0,,,,,,caught,SPD Smith,19.2,,Shahbaz Ahmed,,
ball,1,19.3,Rajasthan Royals,R Tewatia,JC Archer,CH Morris,1,0,,,,,,"","",19.3,,,,
ball,1,19.4,Rajasthan Royals,JC Archer,R Tewatia,CH Morris,0,0,,,,,,"","",19.4,,,,
ball,1,19.5,Rajasthan Royals,JC Archer,R Tewatia,CH Morris,0,1,1,,,,,"","",19.5,,,,
ball,1,19.6,Rajasthan Royals,JC Archer,R Tewatia,CH Morris,2,0,,,,,,"","",19.5,,,,
ball,1,19.7,Rajasthan Royals,JC Archer,R Tewatia,CH Morris,0,0,,,,,,lbw,JC Archer,19.6,,,,
ball,2,0.1,Royal Challengers Bangalore,D Padikkal,AJ Finch,JC Archer,0,0,,,,,,"","",0.1,,,,
ball,2,0.2,Royal Challengers Bangalore,D Padikkal,AJ Finch,JC Archer,0,0,,,,,,"","",0.2,,,,
ball,2,0.3,Royal Challengers Bangalore,D Padikkal,AJ Finch,JC Archer,1,0,,,,,,"","",0.3,,,,
ball,2,0.4,Royal Challengers Bangalore,AJ Finch,D Padikkal,JC Archer,0,0,,,,,,"","",0.4,,,,
ball,2,0.5,Royal Challengers Bangalore,AJ Finch,D Padikkal,JC Archer,0,0,,,,,,"","",0.5,,,,
ball,2,0.6,Royal Challengers Bangalore,AJ Finch,D Padikkal,JC Archer,0,1,1,,,,,"","",0.6,,,,
ball,2,0.7,Royal Challengers Bangalore,AJ Finch,D Padikkal,JC Archer,2,0,,,,,,"","",0.6,,,,
ball,2,1.1,Royal Challengers Bangalore,D Padikkal,AJ Finch,S Gopal,2,0,,,,,,"","",1.1,,,,
ball,2,1.2,Royal Challengers Bangalore,D Padikkal,AJ Finch,S Gopal,0,0,,,,,,"","",1.2,,,,
ball,2,1.3,Royal Challengers Bangalore,D Padikkal,AJ Finch,S Gopal,1,0,,,,,,"","",1.3,,,,
ball,2,1.4,Royal Challengers Bangalore,AJ Finch,D Padikkal,S Gopal,0,0,,,,,,"","",1.4,,,,
ball,2,1.5,Royal Challengers Bangalore,AJ Finch,D Padikkal,S Gopal,0,1,,,,1,,"","",1.5,,,,
ball,2,1.6,Royal Challengers Bangalore,D Padikkal,AJ Finch,S Gopal,1,0,,,,,,"","",1.6,,,,
ball,2,2.1,Royal Challengers Bangalore,D Padikkal,AJ Finch,JC Archer,1,0,,,,,,"","",2.1,,,,
ball,2,2.2,Royal Challengers Bangalore,AJ Finch,D Padikkal,JC Archer,6,0,,,,,,"","",2.2,,,,
ball,2,2.3,Royal Challengers Bangalore,AJ Finch,D Padikkal,JC Archer,0,0,,,,,,"","",2.3,,,,
ball,2,2.4,Royal Challengers Bangalore,AJ Finch,D Padikkal,JC Archer,0,0,,,,,,"","",2.4,,,,
ball,2,2.5,Royal Challengers Bangalore,AJ Finch,D Padikkal,JC Archer,0,0,,,,,,"","",2.5,,,,
ball,2,2.6,Royal Challengers Bangalore,AJ Finch,D Padikkal,JC Archer,6,0,,,,,,"","",2.6,,,,
ball,2,3.1,Royal Challengers Bangalore,D Padikkal,AJ Finch,S Gopal,0,0,,,,,,"","",3.1,,,,
ball,2,3.2,Royal Challengers Bangalore,D Padikkal,AJ Finch,S Gopal,1,0,,,,,,"","",3.2,,,,
ball,2,3.3,Royal Challengers Bangalore,AJ Finch,D Padikkal,S Gopal,0,0,,,,,,caught,AJ Finch,3.3,,RV Uthappa,,
ball,2,3.4,Royal Challengers Bangalore,D Padikkal,V Kohli,S Gopal,1,0,,,,,,"","",3.4,,,,
ball,2,3.5,Royal Challengers Bangalore,V Kohli,D Padikkal,S Gopal,1,0,,,,,,"","",3.5,,,,
ball,2,3.6,Royal Challengers Bangalore,D Padikkal,V Kohli,S Gopal,2,0,,,,,,"","",3.6,,,,
ball,2,4.1,Royal Challengers Bangalore,V Kohli,D Padikkal,Kartik Tyagi,1,0,,,,,,"","",4.1,,,,
ball,2,4.2,Royal Challengers Bangalore,D Padikkal,V Kohli,Kartik Tyagi,0,1,1,,,,,"","",4.2,,,,
ball,2,4.3,Royal Challengers Bangalore,D Padikkal,V Kohli,Kartik Tyagi,0,0,,,,,,"","",4.2,,,,
ball,2,4.4,Royal Challengers Bangalore,D Padikkal,V Kohli,Kartik Tyagi,4,0,,,,,,"","",4.3,,,,
ball,2,4.5,Royal Challengers Bangalore,D Padikkal,V Kohli,Kartik Tyagi,4,0,,,,,,"","",4.4,,,,
ball,2,4.6,Royal Challengers Bangalore,D Padikkal,V Kohli,Kartik Tyagi,1,0,,,,,,"","",4.5,,,,
ball,2,4.7,Royal Challengers Bangalore,V Kohli,D Padikkal,Kartik Tyagi,1,0,,,,,,"","",4.6,,,,
ball,2,5.1,Royal Challengers Bangalore,V Kohli,D Padikkal,JD Unadkat,2,0,,,,,,"","",5.1,,,,
